seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
820,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,b8af2b31-7692-4eda-80f2-a321f85d8810,157,10,80,583,10ms,375ms,95ms,153ms
830,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,d21bdb61-b772-4590-a128-6e45b333b524,155,15,80,583,22ms,480ms,87ms,150ms
840,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,b6bbbad2-40b7-4ed7-8e57-7f73b8ecc5a1,77,9,82,585,11ms,220ms,23ms,73ms
850,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,cd0decc5-b2f2-4927-b760-de5b3a6d329e,110,6,82,585,9.3ms,245ms,122ms,105ms
860,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,d9ccc89f-abaa-4081-ba3f-f798e3f33f07,66,12,80,582,8.8ms,95ms,37ms,61ms
880,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,ed900c94-3d26-477b-ae80-706a43107cfe,43,11,80,582,9.8ms,78ms,60ms,38ms
870,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,feceb63e-d52a-4cc0-9825-d799e6eb61a7,180,15,82,584,8.8ms,415ms,95ms,177ms
890,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,cdc14398-af9c-4dd7-8f09-169f42c85507,86,11,82,584,9.0ms,152ms,34ms,82ms
900,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,a09bce9d-3eb3-4157-b2af-4c109234828d,67,8,80,583,12ms,158ms,52ms,63ms
910,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,c224e913-67b1-421f-a16a-5973a34eb060,52,8,80,583,13ms,68ms,38ms,47ms
920,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,bcf7a382-1171-498e-acc4-b576103316f4,45,8,82,584,9.5ms,114ms,20ms,41ms
930,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,24752d87-9e88-4772-b13c-7a35954957b2,95,7,82,585,19ms,334ms,33ms,92ms
940,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,55600be4-1474-4d7e-8642-109f53221b7b,105,8,82,585,11ms,157ms,20ms,100ms
950,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,e232254d-537c-4ca3-9b5f-443d796d6170,78,13,80,583,9.4ms,110ms,53ms,74ms
